                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0254,                 2.8005,                 1.3737,                0.72372,                   0.25,                0.45681,                0.38132,                 0.6636,                  2.392,                 1.1517,                 0.0982,                 0.0002,                 0.0002
                      1,                 1.0549,                 2.7418,                  1.385,                0.49275,                0.53477,                0.63753,                 0.5307,                0.65243,                 2.0989,                 1.1477,               0.095499,             0.00049901,             0.00049901
                      2,                 1.0184,                 1.9209,                 1.3766,                0.78002,                      1,                0.82115,                0.66508,                0.63261,                 2.1664,                 1.1761,               0.092797,             0.00079683,             0.00079683
                      3,                 1.0017,                  1.282,                 1.3675,                 0.8151,                      1,                0.90696,                0.73422,                0.63511,                 1.8103,                 1.1286,               0.090093,              0.0010935,              0.0010935
                      4,                0.96704,                  1.154,                 1.2868,                0.85108,                      1,                0.95106,                0.77339,                0.64951,                0.94243,                 1.1264,               0.087389,              0.0013889,              0.0013889
                      5,                0.89238,                0.94211,                 1.2411,                0.85774,                   0.95,                0.95881,                0.80496,                 0.6111,                0.75253,                 1.0969,               0.084683,              0.0016832,              0.0016832
                      6,                0.94137,                0.81408,                 1.2606,                0.83577,                   0.95,                0.90485,                0.76853,                0.56385,                0.92318,                 1.0655,               0.081976,              0.0019762,              0.0019762
                      7,                0.92614,                0.89366,                 1.2344,                0.90819,                0.98959,                0.98295,                0.82091,                 0.5745,                0.57239,                 1.0777,               0.079268,              0.0022681,              0.0022681
                      8,                0.86249,                0.67869,                 1.2253,                0.90631,                      1,                0.97227,                 0.8168,                0.58286,                0.59325,                 1.0886,               0.076559,              0.0025588,              0.0025588
                      9,                0.85843,                0.74425,                 1.2662,                0.79781,                      1,                 0.8826,                 0.7427,                0.56954,                 1.0171,                 1.0686,               0.073848,              0.0028483,              0.0028483
                     10,                0.85092,                0.72263,                 1.2484,                0.88313,                    0.9,                0.93081,                0.74753,                0.61073,                0.62957,                  1.068,               0.071137,              0.0031366,              0.0031366
                     11,                0.86882,                0.57464,                 1.2049,                0.98419,                    0.9,                0.97985,                0.82914,                 0.6132,                0.53061,                 1.0588,               0.068424,              0.0034238,              0.0034238
                     12,                0.78494,                0.54038,                 1.1341,                0.86226,                0.93938,                 0.9522,                0.78723,                0.62308,                0.71577,                 1.0302,                0.06571,              0.0037097,              0.0037097
                     13,                0.86822,                0.58228,                 1.1979,                0.85927,                      1,                0.96831,                0.81691,                0.61364,                0.47112,                 1.0251,               0.062994,              0.0039945,              0.0039945
                     14,                 0.7513,                0.67571,                 1.1242,                0.93295,                      1,                0.99024,                 0.8336,                0.63221,                0.65042,                 1.0277,               0.060278,               0.004278,               0.004278
                     15,                0.83483,                0.58982,                 1.1449,                0.95141,                0.97958,                0.99024,                 0.8063,                0.69544,                0.50251,                 1.0655,                0.05756,              0.0045604,              0.0045604
                     16,                0.75672,                 0.5748,                    1.1,                0.91076,                      1,                0.97119,                0.81857,                0.57845,                0.42697,                 1.0078,               0.054842,              0.0048416,              0.0048416
                     17,                0.75769,                0.53397,                 1.1039,                 0.8592,                      1,                  0.995,                 0.8495,                0.55473,                  0.882,                 1.0273,               0.052122,              0.0051216,              0.0051216
                     18,                0.69731,                0.61152,                 1.0901,                0.93072,                      1,                  0.995,                0.84337,                0.56193,                0.48513,                 1.0175,                 0.0494,              0.0054004,              0.0054004
